record_id,declaration_timestamp,shipment_id,invoice_id,exporter_id,importer_id,destination_market,port_of_export,port_of_entry,product_family,hs_code,product_description,shipment_quantity,quantity_unit,shipment_value_usd,incoterm,transport_mode,declared_origin_country,country_of_export,country_of_last_substantial_transformation,production_method_tag,production_stage_country_1,production_stage_country_2,supplier_chain_depth,origin_certificate_available,origin_certificate_match_score,embedded_emissions_tco2e_per_tonne,emissions_estimation_method,electricity_source_tag,recycled_content_percent,plant_emissions_disclosure_available,sector_emissions_band,traceability_completeness_score,supplier_traceability_metadata_available,batch_lot_reference_available,production_site_identifier_available,supporting_document_count,document_consistency_score,is_problematic,anomaly_class,anomaly_count,risk_label,rule_flag_count,synthetic_record_type,injected_pattern
REC_4f11daa163,2026-01-14 14:30:14.534705,SHP_4a6fcdb573,INV_49bfaf4e8e,EXP_c052b4c5f3,IMP_9473277861,EU,Vancouver,Hamburg,aluminium_ingot,7601,Unwrought aluminium ingot,193.52,tonnes,532318.23,DAP,sea,NO,SE,BR,primary,DE,FR,2,0,0.81,7.67,measured,mixed,14.64,0,high,0.57,1,1,1,3,0.99,1,logical_inconsistency,1,low,0,compliant,none
REC_aa00f44a96,2026-01-04 14:30:14.537299,SHP_cf36444ace,INV_af0bddc8af,EXP_a70692cd3f,IMP_76c1c58d1f,Other,Jebel_Ali,Shanghai,aluminium_profile,7604,Aluminium profile,114.05,tonnes,320378.13,CIF,sea,ZA,NO,ZA,primary,TR,FR,1,0,0.9,6.69,default,grid,3.67,1,medium,0.75,1,1,1,2,0.86,0,none,0,low,0,compliant,none
REC_440cb95d1c,2025-05-09 14:30:14.537493,SHP_f5b7ca130e,INV_51ae034b79,EXP_0894d17c4c,IMP_1b09ff8006,US,Santos,Felixstowe,aluminium_profile,7604,Aluminium profile,233.47,tonnes,895310.55,FOB,sea,AE,FR,AE,recycled,CA,SE,3,1,0.92,8.66,measured,grid,67.99,0,medium,0.87,1,1,1,4,0.89,0,none,0,low,0,compliant,none
REC_cb86f09730,2025-09-26 14:30:14.537814,SHP_5b9c567763,INV_3ef8c5f050,EXP_cb96bd2480,IMP_1045ef3b5b,UK,Shanghai,Hamburg,aluminium_profile,7604,Aluminium profile,252.64,tonnes,646369.46,CIF,rail,TR,NL,TR,recycled,BR,SE,3,0,0.93,5.59,default,renewable,96.37,1,high,,1,1,1,6,0.99,1,missingness,1,low,0,compliant,none
REC_cea9d3a332,2025-10-16 14:30:14.537961,SHP_0a9e383a55,INV_bf6d64eb56,EXP_c0773fc442,IMP_d166f76e48,Other,Shanghai,Hamburg,aluminium_coil,7606,Aluminium coil,470.35,tonnes,1534881.66,CIF,rail,DE,SE,DE,mixed,BR,TR,1,0,0.88,12.54,estimated,renewable,49.89,1,high,0.84,1,1,1,3,0.91,0,none,0,low,0,compliant,none
REC_6676a42fbb,2025-05-31 14:30:14.538083,SHP_0a33161d93,INV_a6d3792056,EXP_2f6ea33e97,IMP_82fd429577,Other,Santos,Mumbai,aluminium_coil,7606,Aluminium coil,403.08,tonnes,885532.84,EXW,sea,BR,CN,BR,primary,NL,CN,3,1,0.84,11.41,measured,grid,19.74,0,low,0.75,1,1,1,3,0.87,0,none,0,low,0,compliant,none
REC_461792956f,2025-06-29 14:30:14.538207,SHP_335542ee4d,INV_f824b07f6c,EXP_90e8c63ee6,IMP_2ee0e83369,US,Vancouver,Rotterdam,aluminium_profile,7604,Aluminium profile,432.92,tonnes,1541024.98,FOB,rail,AE,AE,AE,recycled,CN,NO,4,1,0.95,2.74,measured,renewable,73.24,1,low,,1,1,1,5,0.94,1,missingness,1,low,0,compliant,none
REC_636956d13b,2025-05-10 14:30:14.538338,SHP_3993aaf9b4,INV_7a0d72db1b,EXP_a55aee41bc,IMP_8506ec8a80,US,Vancouver,Santos,aluminium_coil,7606,Aluminium coil,285.03,tonnes,884236.41,CIF,sea,NL,CN,NL,mixed,TR,NL,1,0,0.89,8.51,estimated,renewable,44.69,1,low,0.84,0,1,1,4,0.98,0,none,0,low,0,compliant,none
REC_4720b17a25,2026-02-11 14:30:14.538458,SHP_69b0815c1c,INV_3890830e1a,EXP_a7a1b13d5f,IMP_e4b3525888,Other,Hamburg,Vancouver,aluminium_coil,7606,Aluminium coil,211.09,tonnes,650625.08,CIF,sea,SE,ZA,SE,primary,CA,IN,1,0,0.99,15.27,default,mixed,4.58,1,low,0.63,0,1,1,4,0.84,1,plausibility,1,low,0,compliant,none
REC_7857ab7476,2025-07-05 14:30:14.538589,SHP_ac6f9ff190,INV_694f069a5c,EXP_bf173194d2,IMP_d98a0ebadf,Other,Hamburg,Felixstowe,aluminium_profile,7604,Aluminium profile,405.65,tonnes,1632074.04,CIF,sea,CA,TR,CA,mixed,TR,DE,4,0,0.85,4.04,estimated,grid,35.9,0,low,0.89,1,1,1,2,0.9,0,none,0,low,0,compliant,none
